Country Name,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Austria,Agricultural land (% of land area),36.64444983,36.8019874,36.51236064,36.3427048,36.28332525,36.12578769,36.03126515,35.92583616,35.86888027,35.81192438,35.63015027,35.33809985,35.16965584,34.96400873,34.74793989,34.61948619,34.45588948,34.29592826,34.04507998,33.87057683,33.6791081,33.41371789,33.14590402,32.91808047,32.89142026,32.94292293,32.35785264,32.16941348,32.14772176,32.12809016,31.53981338
Albania,Agricultural land (% of land area),40.91240876,41.13138686,41.13138686,41.09489051,41.09489051,41.13138686,41.27737226,41.42335766,41.56934307,41.78832117,41.75182482,41.56934307,41.60583942,40.91240876,40.94890511,39.30656934,40.87591241,40.83941606,43.10218978,43.84306569,43.84306569,43.83211679,43.84306569,43.33211679,42.85729927,42.85766423,43.12773723,42.8569708,42.84967153,42.84671533,42.53850365
United Arab Emirates,Agricultural land (% of land area),4.012954097,4.364967615,4.773303295,4.998591946,5.237961138,5.392847085,5.449169248,5.561813574,5.604055196,7.265558997,7.702055759,7.913263869,7.969586032,7.800619544,7.800619544,7.842861166,7.583779217,7.499295973,7.597859758,5.461841735,5.523796114,5.470290059,5.304139679,5.342157139,5.385806815,5.390030977,5.404111518,5.404111518,5.375246409,5.497043086,5.488594762
Brazil,Agricultural land (% of land area),28.104339,27.93446867,27.76459834,27.59472801,27.42485768,27.25546593,27.267873,27.28028006,27.29268713,27.3050942,27.31750126,27.32990833,27.3423154,27.35472246,27.36712953,27.3795366,27.39257777,27.47881706,27.56505634,27.65129562,27.73753491,27.82377419,27.91001347,27.99625275,28.08249204,28.16873132,28.2549706,28.34106631,28.41562848,28.4901295,28.56461856
Austria,Forest area (% of land area),45.75460494,45.8303078,45.90601066,45.98171352,46.05741638,46.13311924,46.2088221,46.28452496,46.36022782,46.43593068,46.51163354,46.54200194,46.57237033,46.60273873,46.63310713,46.66347552,46.69384392,46.72421231,46.75458071,46.7849491,46.8153175,46.85891905,46.9025206,46.94612215,46.9897237,47.03332525,47.07695104,47.12045565,47.16396025,47.20746486,47.25096946
Albania,Forest area (% of land area),28.78832117,28.71715328,28.6459854,28.57481752,28.50364964,28.43248175,28.36131387,28.29014599,28.2189781,28.14781022,28.07664234,28.12324818,28.16985401,28.21645985,28.26306569,28.30967153,28.35627737,28.40288321,28.44948905,28.49609489,28.54270073,28.59465328,28.64660584,28.69855839,28.75051095,28.8024635,28.80218978,28.79206204,28.7919708,28.7919708,28.7919708
United Arab Emirates,Forest area (% of land area),3.44973247,3.540453393,3.631174317,3.721895241,3.812616164,3.903337088,3.994058012,4.084778936,4.175499859,4.266220783,4.356941707,4.368023092,4.379104478,4.390185863,4.401267249,4.412348634,4.42343002,4.434511405,4.445592791,4.456674176,4.467755562,4.467755562,4.467755562,4.467755562,4.467755562,4.467755562,4.467755562,4.467755562,4.467755562,4.467755562,4.467755562
Brazil,Forest area (% of land area),70.45802056,70.00565437,69.55328817,69.10092198,68.64855578,68.19618958,67.74382339,67.29145719,66.83909099,66.3867248,65.9343586,65.4616709,64.98898319,64.51629549,64.04360779,63.57092009,63.09823238,62.62554468,62.15285698,61.68016927,61.20748157,61.02332816,60.83917474,60.65502133,60.47086792,60.28671451,60.07103255,59.83288148,59.70842795,59.55852618,59.41747805
Austria,CO2 emissions (metric tons per capita),7.590106605,8.049526421,7.35494711,7.311748471,7.344674059,7.698069947,8.15463769,8.06021204,8.107660865,7.889457434,7.930858961,8.444656269,8.583836811,9.169316756,9.275870702,9.266405512,8.962101511,8.588766398,8.500238419,7.721228101,8.36562481,8.136189778,7.723851662,7.754017979,7.260930858,7.318859537,7.290777216,7.487036755,7.141140211,7.263331201,6.632645737
Albania,CO2 emissions (metric tons per capita),1.844035463,1.26105443,0.689643703,0.644008419,0.649938146,0.612055271,0.62120565,0.469830997,0.576804442,0.96029694,1.031567545,1.056868354,1.233001531,1.361158778,1.427944204,1.360092207,1.363988602,1.433796507,1.428249586,1.492116704,1.64276193,1.768108509,1.565921402,1.656389503,1.795712442,1.665218525,1.590069333,1.880557113,1.85464154,1.749462457,1.544550115
United Arab Emirates,CO2 emissions (metric tons per capita),29.05579609,30.65356558,28.211854,28.61541755,30.39024072,30.8821161,30.52327581,29.65672646,28.56757488,27.6603898,25.86885059,28.1386591,27.28555683,27.22487264,27.54777393,27.2025439,24.81397049,22.44850002,22.328149,19.64553907,19.19279594,19.43178035,20.27565246,21.13391608,21.12277445,21.91450189,22.28070271,21.16549791,19.06094953,20.15334483,20.25227168
Brazil,CO2 emissions (metric tons per capita),1.313131623,1.340029763,1.333318452,1.358610901,1.382139692,1.475603559,1.5804544,1.669181232,1.698944884,1.734769448,1.783500116,1.792112278,1.760651244,1.701852536,1.778441244,1.775662922,1.777477957,1.847975736,1.939215274,1.799328142,2.026605669,2.11062776,2.271417684,2.413446537,2.51459196,2.365360621,2.161259847,2.185486619,2.064261479,2.050770129,1.942523356
Austria,GDP per capita growth (annual %),3.553547647,2.413986454,0.97609224,-0.298754361,2.008761944,2.510912694,2.211434933,1.977975908,3.467829941,3.355044661,3.12743665,0.880259098,1.152676331,0.450946527,2.099711169,1.549877317,2.943417859,3.391730827,1.143307119,-4.016340042,1.592577128,2.576448318,0.222450577,-0.562298943,-0.122370667,-0.11154019,0.89246914,1.550724086,1.92771306,1.000406953,-7.019825952
Albania,GDP per capita growth (annual %),-11.1879053,-27.56682084,-6.622551212,10.22994935,8.969761659,14.02449593,9.780179879,-10.36110497,9.516484438,13.60806912,7.630022439,9.314397139,4.850475334,5.924211542,5.956569596,6.067882439,6.572922982,6.787228936,8.328108423,4.053139864,4.223083827,2.821642455,1.584872815,1.187234353,1.985388092,2.516827054,3.480293217,3.898112267,4.276311551,2.523540843,-2.745238678
United Arab Emirates,GDP per capita growth (annual %),11.58314134,-4.575279929,-1.921751266,-3.614620809,2.042957365,2.0870473,0.092720744,1.35949143,-5.716708524,-2.958957302,4.836129645,-3.851554147,-2.625471695,3.67104717,4.630576274,-2.190420613,-4.017715396,-13.9233874,-13.28742756,-17.1453939,-4.256385863,5.058808708,0.769638851,4.012692142,3.174202489,5.817357874,4.65350539,-0.087326072,0.517239889,0.323686531,-5.731044525
Brazil,GDP per capita growth (annual %),-6.065555669,-0.700696276,-2.179979806,3.242563272,4.182955815,2.608090006,0.656502163,1.855343025,-1.124442426,-0.948845923,2.970910781,0.059648944,1.760242779,-0.051285666,4.561781957,2.055571501,2.847962008,4.98082992,4.061722166,-1.073238333,6.522816179,3.013396273,1.007654033,2.114256452,-0.354514802,-4.358317179,-4.057423002,0.523296589,0.978938493,0.448280407,-3.918004172
